"REGIONNAME","REGION","COUNTRYCODE","IPADDRESS","LAT","LON","CITY","ZIP","COUNTRY","ORG","ISP","AS"
"Saskatchewan","SK","CA","204.83.94.145","52.1404","-106.608","Saskatoon","S7N","Canada","SaskTel","SaskTel","AS803 Saskatchewan Telecommunications"
"California","CA","US","2607:fb90:227a:e923:1dc5:fdab:88e0:50b6","33.6695","-117.8231","Irvine","92612","United States","T-Mobile USA","T-Mobile USA","AS21928 T-Mobile USA, Inc."
"Alberta","AB","CA","2001:56a:f025:5f00:7c02:22e7:1db1:62ee","53.4567","-113.5801","Edmonton","T6R","Canada","Telus Communications","Telus Communications","AS852 TELUS Communications Inc."
"Alberta","AB","CA","2001:56a:f0da:6600:4ce3:2981:5dd:9192","53.4593","-113.4145","Edmonton","T6L","Canada","Telus Communications","Telus Communications","AS852 TELUS Communications Inc."
"Alberta","AB","CA","2001:56a:f025:5f00:9d81:e387:3f29:b521","53.4567","-113.5801","Edmonton","T6R","Canada","Telus Communications","Telus Communications","AS852 TELUS Communications Inc."
"Alberta","AB","CA","24.65.39.94","53.4914","-113.4802","Edmonton","T6E","Canada","Shaw Communications","Shaw Communications","AS6327 Shaw Communications Inc."
"Ontario","ON","CA","99.228.105.22","43.6665","-79.8054","Brampton","L6X","Canada","Rogers Cable","Rogers Cable","AS812 Rogers Cable Communications Inc."
"Ontario","ON","CA","70.54.122.220","43.7786","-79.445","North York","M2R","Canada","Bell Canada","Bell Canada","AS577 Bell Canada"
"Ontario","ON","CA","50.101.201.211","46.5","-80.9667","Greater Sudbury","P3A","Canada","Bell Canada","Bell Canada","AS577 Bell Canada"
"Ontario","ON","CA","45.72.130.12","43.6889","-79.4507","Toronto","M6E","Canada","TekSavvy Solutions","TekSavvy Solutions","AS5645 TekSavvy Solutions, Inc."
"Ontario","ON","CA","70.55.34.226","43.8001","-79.4829","Concord","L4K","Canada","Bell Canada","Bell Canada","AS577 Bell Canada"
"Ontario","ON","CA","66.185.207.202","46.5","-80.9667","Greater Sudbury","P3A","Canada","Via Computer and Communications (ViaNet)","Vianet","AS5690 Via Computer and Communications (ViaNet)"
"Ontario","ON","CA","2607:fea8:5060:7c:1163:ddd6:9592:74fa","43.7673","-79.4111","Toronto","M2N","Canada","Rogers Cable","Rogers Cable","AS812 Rogers Cable Communications Inc."
"Ontario","ON","CA","2607:fea8:c60:84a:f4e3:2e40:26d:6c8d","43.6431","-79.7709","Brampton","L6Y","Canada","Rogers Cable","Rogers Cable","AS812 Rogers Cable Communications Inc."
"Ontario","ON","CA","2607:fea8:5060:7c:88ee:5932:ba9a:2a1a","43.7673","-79.4111","Toronto","M2N","Canada","Rogers Cable","Rogers Cable","AS812 Rogers Cable Communications Inc."
"Ontario","ON","CA","2607:fea8:c60:84a:6:682:2ccf:820b","43.6431","-79.7709","Brampton","L6Y","Canada","Rogers Cable","Rogers Cable","AS812 Rogers Cable Communications Inc."
"Ontario","ON","CA","70.48.104.51","43.6898","-79.5582","Etobicoke","M9R","Canada","Bell Canada","Bell Canada","AS577 Bell Canada"
"Ontario","ON","CA","99.236.8.86","43.6667","-79.4167","Toronto","M6G","Canada","Rogers Cable","Rogers Cable","AS812 Rogers Cable Communications Inc."
"Ontario","ON","CA","2607:fea8:c60:84a:4144:aa8f:3c8e:edbf","43.6431","-79.7709","Brampton","L6Y","Canada","Rogers Cable","Rogers Cable","AS812 Rogers Cable Communications Inc."
